use_keyword,latin_name_search,common_name_search,edibility_rating_search,medicinal_rating_search,plant_url,Care Requirements,Common Name,Common Names,Cultivation Details,Edibility Rating,Edible Uses,Family,Image URLs,Known Hazards,Medicinal Properties,Medicinal Rating,Native Range,Other Uses,Other Uses Rating,Propagation,Range,Scientific Name,Special Uses,Summary,USDA hardiness,Weed Potential
Stomachic,Abelmoschus moschatus,"Musk Mallow,Musk Okra",2,3,https://pfaf.org/user/Plant.aspx?LatinName=Abelmoschus moschatus,Moist Soil; Half Hardy; Full sun,"Musk Mallow,Musk Okra","Musk Mallow,Musk Okra","Easily grown in a rich well-drained soil in a sunny position[238]. Tolerates a pH in the range 6 to 7.8. This species is not hardy in the colder areas of the country, it tolerates temperatures down to about -5°c and can be grown outdoors in the milder areas of the country[238]. The plant grows as a shrub in frost-free climates but is usually cut back to the ground in British winters. So long as these winters are not too cold, however, it can usually be grown as a herbaceous perennial with new shoots being produced freely from the root-stock. These flower in the summer[238]. It is probably wise to apply a good mulch to the roots in the autumn[K]. It is best to cut back the stems to about 15cm long in the spring even if they have not been killed back by the frost[238]. This will ensure an abundance of new growth and plenty of flowers in the summer. The musk mallow is widely cultivated in tropical climates for its many uses[238]. There is at least one named form, selected for its ornamental value. 'Mischief' is somewhat smaller than the species, reaching a height of 50cm[238].",2,"Edible Parts: Leaves Oil Root Seed Seedpod Shoots Edible Uses: Condiment Oil Young leaves and shoots - cooked in soups[183, 272]. Used as a vegetable[238]. The leaves are also used to clarify sugar[183]. Unripe seedpods - cooked as a vegetable in much the same way as okra (A. esculentus)[183, 238, 272]. Seed - cooked[272]. It is fried or roasted and has a flavour similar to sesame seeds[272]. The seed is also used as a flavouring for liqueurs or to scent coffee[183, 238]. An essential oil is obtained from the plant and is used to flavour baked goods, ice cream, sweets and soft drinks[183]. Root[183]. No more details are given, though the root is likely to have a bland flavour and a fibrous texture.",Malvaceae,../Admin/PlantImages/AbelmoschusMoschatus.jpg; ../Admin/PlantImages/noplantimage2.JPG,None known,Antihalitosis; Antispasmodic; Aphrodisiac; Appetizer; Aromatherapy; Digestive; Nervine; Stomachic; Vulnerary,3,"TEMPERATE ASIA: China (Hunan Sheng, Jiangxi Sheng, Guangdong Sheng, Guizhou Sheng, Yunnan Sheng, Guangxi Zhuangzu Zizhiqu), Taiwan TROPICAL ASIA: Bangladesh, India, Sri Lanka, Papua New Guinea, India (Andaman and Nicobar Islands), Cambodia, Laos, Thailand, Vietnam, Indonesia, Malaysia, Philippines AUSTRALASIA: Australia (Queensland, Western Australia (north), Northern Territory)","Essential Fibre Insecticide Oil Size An essential oil is obtained from the plant[238]. It is used as a food flavouring and in perfumery as a musk substitute[238]. However, it has been known to cause photosensitivity so this use has been largely discontinued[238]. An oil obtained from the seed contains 18.9% linoleic acid[240]. The oil is f high econmic value[266]. Total yields of oil are not given[K]. The seeds are used as an insecticide[4, 238]. Another report says that extracts of the fruits and upper parts of the plant show insecticidal activity[240]. A fibre is obtained from the stem bark[238]. It is used to make ropes[272]. A mucilage obtained from the roots is used as a size for paper[238].",3,"Seed - sow April in a greenhouse. The seed germinates best at a temperature around 24 - 24°c[238]. When large enough to handle, prick out the seedlings into individual pots of rich soil and plant them out after the last expected frosts[K]. The seed can also be sown in situ in late April in areas with warm summers. Cuttings of half-ripe wood, July in a frame[238].",S.E. Asia - Himalayas to China and Vietnam.,Abelmoschus moschatus - Medik.,Scented Plants,,8-11,No
Stomachic,Abies grandis,"Grand Fir, Giant Fir, Lowland White Fir",2,2,https://pfaf.org/user/Plant.aspx?LatinName=Abies grandis,Semi-shade; Fully Hardy; Moist Soil; Full shade; Full sun,"Grand Fir, Giant Fir, Lowland White Fir","Grand Fir, Giant Fir, Lowland White Fir","Landscape Uses:Screen, Specimen. Prefers a good moist but not water-logged soil[1]. Grows well in heavy clay soils and succeeds in poor sandy soils[185]. Very shade tolerant, especially when young, but growth is slower in dense shade[81]. Intolerant of atmospheric pollution[1]. Trees succeeds in very exposed positions, even if the top is blown out by the wind the trees make one or more new tops and continue growing with no loss of vigour[11, 185]. Prefers slightly acid conditions down to a pH of about 5[200]. Prefers growing on a north-facing slope[200]. This species thrives exceedingly well in the moister parts of Britain, where it grows very quickly[11]. It is cultivated for timber in W. and N. Europe[50]. Trees are slow growing for the first few years but they are then quite fast with trees growing 60 - 100cm in height and 8cm in girth per year even when they are quite large[1, 185]. New growth takes place from early May to July[185]. Trees grow best in the Perthshire valleys of Scotland and in the far west of Britain[11]. Some trees have reached heights in excess of 60 metres in 100 years in Wales and Scotland, making them amongst the tallest trees in Europe[200]. A very ornamental plant[1], it is rarely harmed by disease, insects or frost[1]. The crushed leaves have a fruity orange-flavoured aroma[185]. Trees should be planted into their permanent positions when they are quite small, between 30 and 90cm in height. Larger trees will check badly and hardly put on any growth for several years. This also badly affects root development and wind resistance[200]. Plants are strongly outbreeding, self-fertilized seed usually grows poorly[200]. They hybridize freely with other members of this genus[200]. Special Features:North American native, There are no flowers or blooms.",2,"Edible Parts: Inner bark Shoots Edible Uses: Drink Gum Tea Inner bark - cooked. It is usually dried, ground into a powder and then used as a thickening in soups etc or mixed with cereals when making bread[161]. It is best used in the spring when it is rich and juicy[213]. An emergency food, it is only used when all else fails[183]. The gum from the trunk is hardened (probably in cold water[K]) and used as a chewing gum[257]. It can also be made into a drink[257]. Young shoot tips are used as a tea substitute[183, 257].",Pinaceae,../Admin/PlantImages/AbiesGrandis2.jpg; ../Admin/PlantImages/AbiesGrandis.jpg,None known,Antirheumatic; Laxative; Ophthalmic; Skin; Stomachic; TB; Tonic,2,"NORTHERN AMERICA: Canada (British Columbia), United States (Idaho, Montana, Oregon, Washington, California)","Baby care Dye Gum Incense Repellent Roofing Wood The aromatic leaves are used as a moth repellent[169]. The boughs have been used in the home as an incense[257]. A pink dye can be obtained from the bark[226]. The dried and hardened pitch can be chewed as a tooth cleanser[257]. A powder made from the dried and crushed leaves was used as a baby powder by the N. American Indians[226]. The bark can be used as a waterproof covering material for buildings and canoes[257]. Wood - light, soft, coarse grained, not strong, not very durable. Used for interior work, cases, etc[46, 61, 82]. Of little value as a lumber, it is used mainly for pulp and fuel[229, 257].",3,"Seed - sow early February in a greenhouse or outdoors in March[78]. Germination is often poor, usually taking about 6 - 8 weeks[78]. Stratification is said to produce a more even germination so it is probably best to sow the seed in a cold frame as soon as it is ripe in the autumn[80, 113]. The seed remains viable for up to 5 years if it is well stored[113]. When large enough to handle, prick the seedlings out into individual pots and grow them on for at least their first winter in pots. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Alternatively, if you have sufficient seed, it is possible to sow in an outdoor seedbed. One report says that it is best to grow the seedlings on in the shade at a density of about 550 plants per square metre[78] whilst another report says that they are best grown on in a sunny position[80].","Western N. America - British Columbia to California, east to Montana and Idaho.",Abies grandis - (Douglas. ex D.Don.)Lindl.,Food Forest Scented Plants,"Form: Columnar, Upright or erect.",5-6,No
Stomachic,Abies spectabilis,Himalayan Fir,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Abies spectabilis,Semi-shade; Fully Hardy; Moist Soil; Full shade; Full sun,Himalayan Fir,Himalayan Fir,"Prefers a good moist but not water-logged soil[1]. Grows well in heavy clay soils. Plants are very shade tolerant, especially when young, but growth is slower in dense shade[81]. Intolerant of atmospheric pollution[1]. Prefers slightly acid conditions down to a pH of about 5[200]. Prefers growing on a north-facing slope[200]. This species is unsatisfactory in south-eastern Britain due to damage by late frosts, trees rarely live more than 40 years and have a poor thin crown[185]. Trees grow far better in the milder and moister western side of the country[11]. Young trees are very slow to establish because they are often damaged by late frosts, it is best to grow the young trees in high shade to get them through this time[1, 185]. Trees should be planted into their permanent positions when they are quite small, between 30 and 90cm in height. Larger trees will check badly and hardly put on any growth for several years. This also badly affects root development and wind resistance[200]. Plants are strongly outbreeding, self-fertilized seed usually grows poorly[200]. They hybridize freely with other members of this genus[200].",0,None known,Pinaceae,../Admin/PlantImages/noplantimage1.JPG; ../Admin/PlantImages/noplantimage2.JPG,None known,Antiperiodic; Astringent; Carminative; Expectorant; Stomachic; Tonic,2,"TEMPERATE ASIA: Afghanistan, China (Xizang Zizhiqu (west)) TROPICAL ASIA: India (Himachal Pradesh, Jammu and Kashmir, Uttar Pradesh), Nepal","Essential Fuel Incense Wood An essential oil is obtained from the plant, though the report does not give yields or uses[240]. The dried leaves, mixed with other ingredients, are used in making incense[272]. The wood is used for construction and thatching roofs[272]. It is also used for fuel[272].",3,"Seed - sow early February in a greenhouse or outdoors in March[78]. Germination is often poor, usually taking about 6 - 8 weeks[78]. Stratification is said to produce a more even germination so it is probably best to sow the seed in a cold frame as soon as it is ripe in the autumn[80, 113]. The seed remains viable for up to 5 years if it is well stored[113]. When large enough to handle, prick the seedlings out into individual pots and grow them on for at least their first winter in pots. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Alternatively, if you have sufficient seed, it is possible to sow in an outdoor seedbed. One report says that it is best to grow the seedlings on in the shade at a density of about 550 plants per square metre[78] whilst another report says that they are best grown on in a sunny position[80].",E. Asia - Himalayas from Afghanistan to Nepal.,Abies spectabilis - (D.Don.)Spach.,Scented Plants,,6-9,No
Stomachic,Abutilon theophrasti,"China Jute, Velvetleaf, Butterprint Buttonweed Jute, China Mallow, Indian Velvet Leaf",3,2,https://pfaf.org/user/Plant.aspx?LatinName=Abutilon theophrasti,Semi-shade; Fully Hardy; Well drained soil; Moist Soil; Full sun,"China Jute, Velvetleaf, Butterprint Buttonweed Jute, China Mallow, Indian Velvet Leaf","China Jute, Velvetleaf, Butterprint Buttonweed Jute, China Mallow, Indian Velvet Leaf","Requires full sun or part day shade and a fertile well-drained soil[200]. Tolerates a pH in the range 5 to 8.2. This species is cultivated for its fibre in China and Russia where it succeeds as far north as latitude 56°n in W. Siberia[61, 123]. It is hardier and more disease-resistant than Jute (Corchorus spp.)[123]. Introduced to N. America in the eighteenth century, it has become a pestilential weed in many parts of the country[207]. Special Features:Invasive.",3,"Edible Parts: Fruit Oil Seed Edible Uses: Oil Seeds - raw or cooked. They can be eaten raw when they are under-ripe[179]. The ripe seed is dried and ground into a powder then used in soups, bread etc[177, 178]. It is washed first to remove any bitterness[179]. The seed contains about 17.4% protein, 16% fat, 33.8% carbohydrate, 4.4% ash[179]. Unripe fruit - raw[177]. This is really more of a seedpod[K].",Malvaceae,../Admin/PlantImages/AbutilonTheophrasti.jpg; ../Admin/PlantImages/AbutilonTheophrasti2.jpg,None known,Astringent; Demulcent; Diuretic; Dysentery; Emollient; Laxative; Ophthalmic; Poultice; Stomachic; Urinary,2,"TEMPERATE ASIA: Afghanistan, Egypt (Sinai), Iran, Turkey, Russian Federation-Ciscaucasia (Ciscaucasia), Armenia, Azerbaijan, Georgia, Russian Federation (Dagestan), Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan TROPICAL ASIA: Pakistan EUROPE: Russian Federation (European part), Bulgaria, Bosnia and Herzegovina, Greece, Croatia, Italy (incl. Sicily), Montenegro, Romania AFRICA: Algeria, Egypt","Fibre Oil Paper A fibre obtained from the stems is used as a jute substitute[123, 169]. It is coarse but flexible and strong[169, 171]. It is also used in rope-making[46, 61]. It takes dyes well[171]. The fibre is also used for making paper, the stems are harvested in the summer, the leaves removed and the stems steamed in order to remove the fibres[189]. The seeds contain about 19% of a semi-drying oil[240].",4,"Seed - sow early April in a greenhouse. Germination should take place within 2 - 3 weeks. When large enough to handle, prick the seedlings out into individual pots and plant them out in May or June, after the last expected frosts. An outdoor sowing in April to early May in situ could also be tried, especially in those areas with warm summers.",Asia - tropical. Naturalised in S.E. Europe and the Mediterranean[50].,Abutilon theophrasti - Medik.,,Form: Upright or erect.,Coming soon,Yes
Stomachic,Acacia farnesiana,"Sweet Acacia, Perfume Acacia, Huisache",2,2,https://pfaf.org/user/Plant.aspx?LatinName=Acacia farnesiana,Moist Soil; Frost Hardy; Full sun; Well drained soil,"Sweet Acacia, Perfume Acacia, Huisache","Sweet Acacia, Perfume Acacia, Huisache","Landscape Uses: Pest tolerant. Originally tropical, Vachellia farnesiana can succeed from the warm temperate to tropical areas, where it is naturalized at elevations up to 400 metres and cultivated up to 1,200 metres[307 , 451 ]. It is particularly well adapted to arid and semi-arid grasslands and wastelands[1093 ]. It grows best in areas where annual daytime temperatures are within the range 20 - 32°c, but can tolerate 7 - 42°c[418 ]. It prefers a mean annual rainfall in the range 400 - 1,400mm, but tolerates 150 - 4,000mm[418 ]. It prefers a minimum temperature no lower than 7°c[238 ]. Whilst this species is not very tolerant of cold, being damaged by even a few degrees of frost, the variety Acacia farnesiana cavenia seems to be more resistant to both drought and frost; and is said to be able to withstand short periods with temperatures falling to around -5°c[269 ]. Prefers a light sandy loam and a very sunny position sheltered from strong winds[1 , 49 , 89 ]. Plants can grow well in pure sand[269 ]. Most species in this genus become chlorotic on limey soils, though this species is said to have some tolerance[200 ]. Established plants are very drought tolerant[200 , 227 , 245 ]. The species and its cultivars are highly adaptable, and are reported to exhibit tolerance to drought, high pH, low pH, salty soils, both sands and clays[269 , 1093 ]. Plants tolerate a pH range from 5.0 to 8.0[269 ]. Acacia farnesiana is an aggressive colonizer and is regarded as an invasive weed both in parts of its native range and where introduced, notably in Australia, the USA, and some Pacific and Caribbean islands[1093 ]. In Australia it is a potential weed of grasslands, invading trampled areas, particularly along watercourses[286 ]. The plant has often escaped from cultivation and has been classified as 'Invasive' in many areas[305 ]. A fast-growing plant[307 ]. In a suitable climate, the trees begin to flower from their third year[245 ]. The flowers are sweetly fragrant. Young trees produce up to 1 kilo of flowers a year[310 ]. A well-managed mature plant 10 years old can yield 9 kg of flowers each year[245 ]. Although damaged by fire, the plant usually resprouts quickly from the base[305 ]. The plant responds well to coppicing[K ]. The leaves are peculiarly sensitive to changes of weather. When a cloud obscures the sun the opposite leaflets close together and so remain until the sky brightens. They also close at night, the plant appearing to sleep until the sun rises[459 ]. This species has a symbiotic relationship with certain soil bacteria, these bacteria form nodules on the roots and fix atmospheric nitrogen. Some of this nitrogen is utilized by the growing plant but some can also be used by other plants growing nearby[269 ]. Special Features: Attracts birds, North American native, Naturalizing, Fragrant flowers, Attractive flowers or blooms.",2,Edible Parts: Edible Uses: Gum Gum A low-quality gum obtained from the plant is used to prepare sweets[272].,Fabaceae or Leguminosae,../Admin/PlantImages/AcaciaFarnesiana.jpg; ../Admin/PlantImages/AcaciaFarnesiana2.jpg,"The seeds, containing an unnamed alkaloid, are used to kill rabid dogs in Brazil[269].",Astringent; Demulcent; Dysentery; Poultice; Stomachic,2,"NORTHERN AMERICA: United States (Florida (northwest), Louisiana (south), Texas, Arizona (south), California (San Diego Co.)), Mexico (Chihuahua, Coahuila de Zaragoza, Durango, Nuevo León, San Luis Potosí, Sinaloa, Sonora, Tamaulipas, Zacatecas, Baja California (Norte), Baja California Sur, Aguascalientes, Campeche, Chiapas, Colima, Guanajuato, Guerrero, Hidalgo, Jalisco, México, Michoacán de Ocampo, Morelos, Nayarit, Oaxaca, Puebla, Querétaro, Quintana Roo, Tabasco, Veracruz de Ignacio de la Llave, Yucatán) SOUTHERN AMERICA: Netherlands Antilles, Antigua and Barbuda, Cuba, Dominica, Guadeloupe, Grenada, St. Kitts and Nevis (Saint Kitts), St. Lucia, Montserrat, Martinique, United States (Puerto Rico), St. Vincent and Grenadines, Belize, Costa Rica, Guatemala, Honduras, Nicaragua, Panama (Coclé, Panamá), El Salvador, French Guiana, Guyana, Suriname, Venezuela, Brazil, Bolivia, Colombia, Peru","Adhesive Dye Essential Gum Gum Ink Tannin Teeth Wood Agroforestry Uses: In suitable climates, especially in India, Irag and the Mediterranean, the plant is grown extensively as a hedge and windbreak[82 , 310 ]. The trees have also been used for erosion control in sandy soils[269 , 272 ]. A good bee plant - the flowers are highly attractive to bees[227 , 274 , 310 ]. Other Uses: An essential oil called Cassie is distilled from the flowers[229, 269]. Cassie absolute is employed in preparation of violet bouquets and is extensively used in European perfumery[269]. Cassie pomades are manufactured in Uttar Pradesh and the Punjab. A deliciously scented essential oil, it has a fragrance of violets[245]. A mature plant 10 years old can yield 9 kg of flowers each year[245]. In a suitable climate, the trees begin to flower from their third year. The perfume is extracted from the flowers in form of concrete or pomade. Macerated flowers are placed in melted purified natural fat and allowed to stand for several hours. They are then replaced by fresh flowers and the process repeated until the fat is saturated with perfume. The fat is then melted, strained and cooled. This constitutes the pomade. Odour is that of violets but more intense. Absolute is prepared by mixing pomade with alcohol (2 - 3 kg to about 4 litres) and allowed to stand for 3 - 4 weeks at about -5°C. The alcohol is then separated and distilled over. The extract obtained is an olive-green liquid with strong odour of cassie flowers[269]. Mature trees can yield about 1 kilo of flowers per year[269]. The bark and the fruit are a source of tannin and used in making dyes and inks[227]. The seedpods contain about 23% tannin[240]. The bark, in combination with iron ores and salts, is used as a black dyestuff[269]. A gummy substance obtained from the young pods is used to mend pottery[227, 269]. A mucilage can be manufactured from the gummy sap[229]. A gum exuding from trunk is considered to be superior to gum arabic in arts[269]. The woody branches are used in India as tooth brushes[269]. In suitable climates the plant is grown as a hedge[82]. The trees have also been used for erosion control in sandy soils[269, 272]. Wood - heavy, hard, durable in the soil, close-grained. Used for fencing posts, agricultural implements, pegs, woodenware etc[82, 227, 269].",4,"Seed - best sown as soon as it is ripe in a sunny position in a warm greenhouse[1]. Stored seed should be scarified, pre-soaked for 12 hours in warm water and then sown in a warm greenhouse in March. The seed germinates in 3 - 4 weeks at 25°c[133]. As soon as the seedlings are large enough to handle, prick them out into individual pots and grow them on in a sunny position in the greenhouse for their first winter. Plant them out in late spring or early summer, after the last expected frosts, and consider giving them some protection from the cold for their first winter outdoors. Cuttings of half-ripe wood with a heel, July/August in individual pots in a frame[78]. Overwinter in a greenhouse for the first winter and plant out in their permanent positions in late spring or early summer. Fair percentage[78].","The original range is uncertain, but is probably tropical America.",Acacia farnesiana - (L.)Willd.,Nitrogen Fixer Scented Plants,"Bloom Color: Yellow. Main Bloom Time: Early summer, Early fall, Early spring, Early winter, Late summer, Late fall, Late spring, Late winter, Mid summer, Mid fall, Mid spring, Mid winter. Form: Rounded, Spreading or horizontal, Vase.",9-11,Yes
Stomachic,Achillea erba-rotta moschata,Musk Milfoil,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Achillea erba-rotta moschata,Fully Hardy; Well drained soil; Full sun; Moist Soil,Musk Milfoil,Musk Milfoil,Succeeds in most soils but prefers a well-drained soil in a sunny position[1]. Lives longer in a poor soil[200]. Hybridizes freely with other members of this genus[200]. Plants succeed in maritime gardens[233].,0,None known,Asteraceae or Compositae,../Admin/PlantImages/AchilleaMoschata.jpg; ../Admin/PlantImages/AchilleaMoschata2.jpg,None known,Appetizer; Diaphoretic; Digestive; Diuretic; Stomachic; Tonic,2,Coming Soon,None known,0,"Seed - sow spring or early autumn in a cold frame[133]. The seed usually germinates in 1 - 3 months[133]. When large enough to handle, prick the seedlings out into individual pots and plant them out in the summer. Division in spring or autumn. Very easy, the divisions can be planted direct into their permanent positions. Basal cuttings of new shoots in spring. Very easy, collect the shoots when they are about 10cm tall, potting them up individually in pots and keeping them in a warm but lightly shaded position. They should root within 3 weeks and will be ready to plant out in the summer.",Europe,Achillea erba-rotta moschata - (Wulfen.)I.Richardson.,,,5-9,No
Stomachic,Achillea santolina,,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Achillea santolina,Moist Soil; Well drained soil; Full sun,,,"We have very little information on this species and do not know if it will be hardy in Britain, though judging by its native range it should succeed outdoors at least in the milder parts of this country. The following notes are based on the general needs of the genus. Succeeds in most soils but prefers a well-drained soil in a sunny position[1, 200]. Plants in this genus generally live longer when growing in a poor soil[200]. Hybridizes freely with other members of this genus[200].",0,None known,Asteraceae or Compositae,../Admin/PlantImages/AchilleaSantolina.jpg; ../Admin/PlantImages/noplantimage2.JPG,None known,Carminative; Stomachic; Tonic,1,"TEMPERATE ASIA: Afghanistan, Iran, Israel, Turkey TROPICAL ASIA: Pakistan AFRICA: Algeria, Egypt, Morocco, Tunisia",Repellent The plant is insect repellent[240].,1,"Seed - sow spring or early autumn in a cold frame[133]. The seed usually germinates in 1 - 3 months[133]. When large enough to handle, prick the seedlings out into individual pots and plant them out in the summer. Division in spring or autumn. Very easy, the divisions can be planted direct into their permanent positions. Basal cuttings of new shoots in spring. Very easy, collect the shoots when they are about 10cm tall, potting them up individually in pots and keeping them in a warm but lightly shaded position. They should root within 3 weeks and will be ready to plant out in the summer.",E. Asia - Himalayas.,Achillea santolina - L.,,,Coming soon,No
Stomachic,Achillea sibirica,Siberian Yarrow,1,1,https://pfaf.org/user/Plant.aspx?LatinName=Achillea sibirica,Fully Hardy; Well drained soil; Full sun; Moist Soil,Siberian Yarrow,Siberian Yarrow,"Succeeds in most soils but prefers a well-drained soil in a sunny position[1, 200]. Plants succeed in maritime gardens[233]. They live longer when growing in a poor soil[200]. A very ornamental plant[200]. Polymorphic. Hybridizes freely with other members of this genus[200].",1,Edible Parts: Leaves Shoots Edible Uses: Young shoots and leaves - cooked[177].,Asteraceae or Compositae,../Admin/PlantImages/AchilleaSibirica.jpg; ../Admin/PlantImages/noplantimage2.JPG,None known,Antibacterial; Antiinflammatory; Carminative; Diaphoretic; Emmenagogue; Odontalgic; Stomachic; Tonic,1,"TEMPERATE ASIA: Russian Federation (Buryatia, Tyva, Respublika, Yakutia-Sakha, Krasnoyarsk, Chita, Irkutsk), Mongolia, Russian Federation (Kurile Islands, Habarovskij kraj, Primorye, Amur, Kamcatskij kraj, Magadanskaja oblast, Sakhalin), China (Anhui Sheng, Heilongjiang Sheng, Hebei Sheng, Gansu Sheng, Jilin Sheng, Liaoning Sheng, Shanxi Sheng, Shaanxi Sheng, Sichuan Sheng, Qinghai Sheng, Yunnan Sheng, Nei Mongol Zizhiqu, Ningxia Huizi Zizhiqu), Japan (Hokkaidô, Honshu), Korea, South, Korea, North TROPICAL ASIA: Nepal NORTHERN AMERICA: Canada (Northwest Territories, Yukon, Québec, Ontario, Saskatchewan, Alberta, Manitoba, British Columbia), United States (Minnesota, North Dakota, Alaska)",None known,0,"Seed - sow spring or early autumn in a cold frame[133]. The seed usually germinates in 1 - 3 months[133]. When large enough to handle, prick the seedlings out into individual pots and plant them out in the summer. Division in spring or autumn. Very easy, the divisions can be planted direct into their permanent positions. Basal cuttings of new shoots in spring. Very easy, collect the shoots when they are about 10cm tall, potting them up individually in pots and keeping them in a warm but lightly shaded position. They should root within 3 weeks and will be ready to plant out in the summer.","E. Asia - China, Japan. North-western N. America.",Achillea sibirica - Ledeb.,,,5-9,No
Stomachic,Acinos arvensis,Basil Thyme,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Acinos arvensis,Fully Hardy; Well drained soil; Full sun; Moist Soil,Basil Thyme,Basil Thyme,"Succeeds in any well-drained soil[244], though it prefers a light well-drained dry soil in full sun[1, 238]. Prefers sandy and alkaline growing conditions[238]. Dislikes shade. A very hardy plant, tolerating temperatures down to at least -15°c[238]. A short-lived perennial, but the plants usually self-sow when they are growing in a suitable position[238].",2,"Edible Parts: Leaves Edible Uses: Condiment The flowering tops are used as a flavouring[4, 177, 183] and in salads[238]. Said to be similar to thyme in odour but milder and more pleasant[183]. The plant is only faintly aromatic and does not really make a very good substitute for thyme[238, K].",Lamiaceae or Labiatae,../Admin/PlantImages/AcinosArvensis.jpg; ../Admin/PlantImages/AcinosArvensis2.jpg,None known,Diuretic; Odontalgic; Rubefacient; Stomachic,1,"TEMPERATE ASIA: Iran (north), Turkey, Russian Federation-Ciscaucasia (Ciscaucasia), Azerbaijan, Russian Federation-Western Siberia (Western Siberia) EUROPE: Denmark, Finland, United Kingdom, Ireland, Norway, Sweden, Austria, Belgium, Switzerland, Czech Republic, Germany, Netherlands, Poland, Slovakia, Russian Federation (European part), Belarus, Estonia, Lithuania, Latvia, Ukraine (incl. Krym), Former Yugoslavia, Albania, Bulgaria, Greece, Italy (incl. Sardinia, Sicily), Romania, Spain (incl. Baleares), France (incl. Corsica), Portugal",The plant makes a good ground cover[244].,3,"Seed - sow early spring in a cold frame. If you have sufficient seed then you could try sowing in situ in April or May. Germination should take place within a month. When large enough to handle, prick the seedlings out into individual pots and plant them out in the summer. Division in spring. Basal cuttings in late spring. Very easy[K].","Europe, including Britain, from Scandanavia to the Mediterranean and east to W. Asia.",Acinos arvensis - (Lam.)Dandy.,Ground cover,,4-8,No
Stomachic,Aconitum gammiei,,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum gammiei,Moist Soil; Full sun; Semi-shade,,,"We have very little information on this species and do not know if it will be hardy in Britain, though judging by the native range of the plant it should succeed outdoors in many parts of the country. The following notes are based on the general needs of the genus. Thrives in most soils and in the light shade of trees[1]. Grows well in heavy clay soils. Prefers a moist soil in sun or semi-shade[200]. Prefers a calcareous soil. Grows well in open woodlands[1, 4]. Members of this genus seem to be immune to the predations of rabbits and deer[233]. A greedy plant, inhibiting the growth of nearby species, especially legumes[54].",0,None known,Ranunculaceae,../Admin/PlantImages/noplantimage1.JPG; ../Admin/PlantImages/noplantimage2.JPG,The whole plant is highly toxic - simple skin contact has caused numbness in some people[1].,Stomachic,1,Coming Soon,None known,0,"Seed - best sown as soon as it is ripe in a cold frame[111]. The seed can be stratified and sown in spring but will then be slow to germinate[133]. When large enough to handle, prick the seedlings out into individual pots and grow them on in a cold frame for their first winter. Plant them out in late spring or early summer. Division - best done in spring but it can also be done in autumn[1, 111]. Another report says that division is best carried out in the autumn or late winter because the plants come into growth very early in the year[233].",E. Asia - Himalayas.,Aconitum gammiei - Stapf.,,,Coming soon,No
